cohort,pool,n_held_out,n_cells_mature,candidate,null_rejection,null_rejection_mcse,null_stream_min,null_stream_max,null_abstention_rate,null_median_width,n_scored_null,discrimination,discrimination_mcse,draw_reference_inclusion,draw_reference_inclusion_mcse,alt_abstention_rate,alt_median_width,n_scored_alt,width_ratio_vs_percentile,baseline_discrimination,source_verdict,interval_object
smc,pooled,2,100,studentised,0.154,0.008071059410015515,0.14,0.16,0.0,3.7547112305604093,2000,0.4985,0.011180289575856253,0.949,0.004919298730510276,0.0,1.9753531008028746,2000,1.2547491079268847,0.522,fails_null,within_patient_over_cells
smc,pooled,2,100,welch_t,0.149,0.007962380297373393,0.1375,0.1675,0.0,2.998507748519609,2000,0.5235,0.01116798437498907,0.9755,0.0034568591235397466,0.0,1.88669131574426,2000,1.0020410869267509,0.522,fails_null,within_patient_over_cells
smc,pooled,2,800,bca,0.087,0.006302023484564303,0.07,0.11,0.0,1.5569391574685587,2000,0.777,0.009307819293475782,0.992,0.001991983935678198,0.0,1.2752509533093015,2000,1.006274373962237,0.7355,fails_null,within_patient_over_cells
smc,pooled,2,800,patient_cluster,0.0705,0.0057240610583745525,0.06,0.0825,0.0,3.8555257940145085,2000,0.2165,0.00920944488012171,0.961,0.004328914413568374,0.0,3.026832343880298,2000,2.4918872301826314,0.7355,fails_null,within_patient_over_cells
smc,pooled,2,800,percentile,0.0685,0.0056483515294287415,0.055,0.0875,0.0,1.5472312499999992,2000,0.7355,0.00986254911267873,0.996,0.0014113823011501884,0.0,1.2539499999999995,2000,1.0,0.7355,fails_null,within_patient_over_cells
smc,pooled,2,800,pseudobulk_patient_t,0.0275,0.0036567574434189644,0.0175,0.0375,0.0,8.361180213225536,2000,0.044,0.0045860658521220555,0.99,0.0022248595461287,0.0,14.857307674567629,2000,5.403962861547387,0.7355,passes_by_width,within_patient_over_cells
smc,pooled,2,800,studentised,0.0845,0.006219314672855845,0.07,0.1025,0.0,1.565195498379484,2000,0.764,0.009494840704298308,0.992,0.001991983935678198,0.0,1.313652738542709,2000,1.0116105775264588,0.7355,fails_null,within_patient_over_cells
smc,pooled,2,800,welch_t,0.0555,0.005119558086397693,0.045,0.0675,0.0,1.5590281314320156,2000,0.7045,0.010202444560006196,0.996,0.0014113823011501884,0.0,1.2508665407458082,2000,1.0076245108363837,0.7355,calibrated_but_underpowered,within_patient_over_cells
smc,pooled,5,5,patient_cluster,0.616793893129771,0.010967432393066497,0.5852417302798982,0.6358974358974359,0.0175,5.4603182563358015,1965,0.6968925114620479,0.010373398984183402,0.9256240448293428,0.005922068713011092,0.0185,4.806539692012313,1963,3.0338261659677337,0.747,fails_null,within_patient_over_cells
smc,pooled,5,5,percentile,0.673,0.01048978074127386,0.6475,0.705,0.0,1.7998125,2000,0.747,0.009720879589831364,0.3615,0.010742852274884916,0.0,1.6269750000000003,2000,1.0,0.747,fails_null,within_patient_over_cells
