cohort,pool,n_held_out,n_cells_mature,shift,seed,n_attempted,n_valid,n_abstained,abstention,median_width,source_patients_min,source_patients_max,median_abs_target_gap,n_rejected,rejection,rejection_low,rejection_high,n_cell_covered,cell_coverage,cell_coverage_low,cell_coverage_high,n_patient_covered,patient_coverage,patient_coverage_low,patient_coverage_high,n_draw_covered,draw_inclusion,draw_inclusion_low,draw_inclusion_high,unconditional_rejection
kul3,reference,5,50,1.0,3,400,400,0,0.0,13.172483311899851,4,5,0.0,38,0.095,0.06999661149327467,0.12770834691750552,362,0.905,0.8722916530824945,0.9300033885067254,362,0.905,0.8722916530824945,0.9300033885067254,362,0.905,0.8722916530824945,0.9300033885067254,0.095
kul3,reference,5,50,1.0,4,400,400,0,0.0,13.612213808026777,4,5,0.0,36,0.09,0.06571729376939447,0.12208278758472865,364,0.91,0.8779172124152713,0.9342827062306055,364,0.91,0.8779172124152713,0.9342827062306055,364,0.91,0.8779172124152713,0.9342827062306055,0.09
kul3,reference,5,800,0.5,1,400,400,0,0.0,5.200003167668618,4,5,0.06965598651237004,148,0.37,0.3241319808189903,0.4183412157079268,392,0.98,0.96103658423074,0.9898316132083353,391,0.9775,0.9577973424412419,0.988118416469505,398,0.995,0.9819550815637568,0.9986277470452896,0.37
kul3,reference,5,800,0.5,2,400,400,0,0.0,5.423381737191274,4,5,0.06965598651237004,129,0.3225,0.27856795807266865,0.3698089064160066,386,0.965,0.9421148604670819,0.9790387058020222,382,0.955,0.9299952708096761,0.971348541346114,394,0.985,0.9676653664151732,0.9931077080805591,0.3225
kul3,reference,5,800,0.5,20260831,400,400,0,0.0,5.098303797699074,4,5,0.07841474026132556,133,0.3325,0.2881179581855746,0.38006866041641474,390,0.975,0.9545984121283544,0.986364908254064,389,0.9725,0.9514345181143852,0.9845763637397046,396,0.99,0.9745734353473804,0.996104516205009,0.3325
kul3,reference,5,800,0.5,3,400,400,0,0.0,5.215547706164741,4,5,0.07841474026132556,129,0.3225,0.27856795807266865,0.3698089064160066,387,0.9675,0.9451958471762332,0.9809101576211996,385,0.9625,0.9390561575554867,0.9771449701852891,398,0.995,0.9819550815637568,0.9986277470452896,0.3225
kul3,reference,5,800,0.5,4,400,400,0,0.0,5.180886381404841,4,5,0.07841474026132556,135,0.3375,0.2929016377213044,0.38518985793734206,376,0.94,0.9122771510995438,0.9593520298862752,376,0.94,0.9122771510995438,0.9593520298862752,396,0.99,0.9745734353473804,0.996104516205009,0.3375
kul3,reference,5,800,1.0,1,400,400,0,0.0,5.4826782522174105,4,5,0.0,10,0.025,0.013635091745936023,0.045401587871645666,390,0.975,0.9545984121283544,0.986364908254064,390,0.975,0.9545984121283544,0.986364908254064,390,0.975,0.9545984121283544,0.986364908254064,0.025
kul3,reference,5,800,1.0,2,400,400,0,0.0,5.237307883173573,4,5,0.0,9,0.0225,0.011881583530495034,0.04220265755875813,391,0.9775,0.9577973424412419,0.988118416469505,391,0.9775,0.9577973424412419,0.988118416469505,391,0.9775,0.9577973424412419,0.988118416469505,0.0225
kul3,reference,5,800,1.0,20260831,400,400,0,0.0,5.391012548069048,4,5,0.0,15,0.0375,0.022855029814710867,0.060943842444513396,385,0.9625,0.9390561575554867,0.9771449701852891,385,0.9625,0.9390561575554867,0.9771449701852891,385,0.9625,0.9390561575554867,0.9771449701852891,0.0375
kul3,reference,5,800,1.0,3,400,400,0,0.0,5.523702555625511,4,5,0.0,11,0.0275,0.015423636260295411,0.048565481885614784,389,0.9725,0.9514345181143852,0.9845763637397046,389,0.9725,0.9514345181143852,0.9845763637397046,389,0.9725,0.9514345181143852,0.9845763637397046,0.0275
