cohort,pool,pair_number,n_source_cells,mean_expression,variance_expression,zero_fraction,squared_cv
kul3,reference,6,401,14.306733167082294,2797.7887077816677,0.6034912718204489,13.668912343262964
kul3,reference,7,198,13.6010101010101,2305.7347464544428,0.5252525252525253,12.464274875283513
kul3,reference,8,309,11.110032362459547,1840.0720352740336,0.6213592233009708,14.907478001124943
kul3,reference,9,414,8.995169082125605,1324.1835515414593,0.606280193236715,16.365509350328402
kul3,reference,10,203,14.995073891625616,3276.7635225314853,0.6798029556650246,14.57296359482733
kul3,reference,11,314,12.050955414012739,2480.2139640553373,0.7197452229299363,17.078360985835545
kul3,reference,12,419,9.725536992840096,1813.2301593178443,0.6801909307875895,19.170160713613612
kul3,reference,13,111,6.666666666666667,978.6186186186184,0.7927927927927928,22.01891891891891
kul3,reference,14,216,4.773148148148148,387.1568715706448,0.6805555555555556,16.99327726981517
kul3,reference,15,327,5.415902140672783,588.7322241861423,0.7186544342507645,20.071331805699522
