cohort,pool,n_held_out,n_cells_mature,shift,candidate,n_streams,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,median_ci_width,stream_min_rate,stream_max_rate,excludes_zero_rate,coverage,abstention_rate,excludes_zero_mcse,coverage_mcse
kul3,pooled,5,800,0.5,pseudobulk_patient_t,5,2000.0,2000,0.0,400.0,1982.0,2.697839730447269,0.1725,0.25,0.2,0.991,0.0,0.00894427190999916,0.002111752826445369
kul3,pooled,5,800,1.0,patient_cluster,5,2000.0,2000,0.0,226.0,1774.0,2.0593624748557433,0.0925,0.1375,0.113,0.887,0.0,0.0070792301841372555,0.007079230184137255
kul3,pooled,5,800,1.0,percentile,5,2000.0,2000,0.0,144.0,1856.0,2.205525,0.0575,0.09,0.072,0.928,0.0,0.005779965397820302,0.0057799653978203
kul3,pooled,5,800,1.0,pseudobulk_patient_t,5,2000.0,2000,0.0,88.0,1912.0,3.2397428831266595,0.025,0.0675,0.044,0.956,0.0,0.0045860658521220555,0.004586065852122058
kul3,reference,2,5,0.5,bca,5,2000.0,2000,0.0,1351.0,839.0,3.44782055042339,0.6675,0.6925,0.6755,0.4195,0.0,0.010468995892634595,0.011034485715247448
kul3,reference,2,5,0.5,patient_cluster,5,2000.0,1223,777.0,900.0,694.0,4.2070048309178745,0.7078189300411523,0.7662835249042146,0.7358953393295176,0.5674570727718724,0.3885,0.01260616044557454,0.014166673528600305
kul3,reference,2,5,0.5,percentile,5,2000.0,2000,0.0,1406.0,843.0,3.3657500000000002,0.69,0.715,0.703,0.4215,0.0,0.010217411609600545,0.01104168805029376
kul3,reference,2,5,0.5,pseudobulk_patient_t,5,2000.0,1223,777.0,117.0,1174.0,43.38929769880698,0.07883817427385892,0.10526315789473684,0.09566639411283728,0.9599345870809485,0.3885,0.008410674171834416,0.005607798536041742
kul3,reference,2,5,0.5,studentised,5,2000.0,2000,0.0,1333.0,849.0,3.62405938609353,0.6575,0.6825,0.6665,0.4245,0.0,0.010542242408520116,0.011052143457266558
kul3,reference,2,5,0.5,welch_t,5,2000.0,2000,0.0,1356.0,868.0,3.4883956324738072,0.6675,0.7,0.678,0.434,0.0,0.010447870596442128,0.011082508741255295
kul3,reference,2,5,1.0,bca,5,2000.0,2000,0.0,1201.0,799.0,3.854389740379409,0.585,0.6275,0.6005,0.3995,0.0,0.010952163028370241,0.010952163028370241
kul3,reference,2,5,1.0,patient_cluster,5,2000.0,1220,780.0,772.0,448.0,4.631268381084963,0.6042553191489362,0.6454183266932271,0.6327868852459017,0.36721311475409835,0.39,0.013800915956377433,0.013800915956377433
kul3,reference,2,5,1.0,percentile,5,2000.0,2000,0.0,1225.0,775.0,3.7154437499999986,0.6025,0.635,0.6125,0.3875,0.0,0.01089366214824014,0.01089366214824014
kul3,reference,2,5,1.0,pseudobulk_patient_t,5,2000.0,1220,780.0,102.0,1118.0,47.90343868930845,0.06276150627615062,0.09561752988047809,0.08360655737704918,0.9163934426229509,0.39,0.0079246710093893,0.007924671009389298
kul3,reference,2,5,1.0,studentised,5,2000.0,2000,0.0,1173.0,827.0,4.1463557211339435,0.5725,0.6075,0.5865,0.4135,0.0,0.011011760758389187,0.011011760758389187
kul3,reference,2,5,1.0,welch_t,5,2000.0,2000,0.0,1191.0,809.0,4.038392859630786,0.58,0.6175,0.5955,0.4045,0.0,0.010974510239641676,0.010974510239641676
kul3,reference,2,50,0.5,bca,5,2000.0,2000,0.0,816.0,1720.0,5.024195325544602,0.385,0.4225,0.408,0.86,0.0,0.010989449485756782,0.00775886589650833
kul3,reference,2,50,0.5,patient_cluster,5,2000.0,1309,691.0,708.0,1107.0,4.824362777543745,0.518796992481203,0.575187969924812,0.5408708938120703,0.8456837280366692,0.3455,0.013773502590024241,0.009984815062582409
kul3,reference,2,50,0.5,percentile,5,2000.0,2000,0.0,986.0,1749.0,4.706437499999998,0.475,0.5125,0.493,0.8745,0.0,0.01117924416049672,0.007407757757918383
