cohort,pool,n_held_out,n_cells_mature,shift,candidate,seed_stream,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,excludes_zero_rate,coverage,median_ci_width,n_normal,n_tumour,n_replicates,n_pool_undefined,null_rejection,null_rejection_mcse,pool_mean,pool_var,pool_skew,pool_form,skew_matched,closed_form_floor
kul3,pooled,2,50,0.5,percentile,20260831,400.0,400,0.0,199.0,358.0,0.4975,0.895,2.2329749999999997,,,,,,,,,,,,
kul3,pooled,2,50,0.5,studentised,20260831,400.0,400,0.0,193.0,340.0,0.4825,0.85,2.481996997937329,,,,,,,,,,,,
kul3,pooled,2,50,0.5,bca,20260831,400.0,400,0.0,188.0,320.0,0.47,0.8,2.3059868211800234,,,,,,,,,,,,
kul3,pooled,2,50,0.5,welch_t,20260831,400.0,400,0.0,198.0,366.0,0.495,0.915,2.2522791690962345,,,,,,,,,,,,
kul3,pooled,2,50,0.5,patient_cluster,20260831,400.0,243,157.0,151.0,151.0,0.6213991769547325,0.6213991769547325,1.6142671779886717,,,,,,,,,,,,
kul3,pooled,2,50,0.5,pseudobulk_patient_t,20260831,400.0,243,157.0,18.0,232.0,0.07407407407407407,0.9547325102880658,14.713653476264735,,,,,,,,,,,,
kul3,pooled,2,100,1.0,percentile,20260831,400.0,400,0.0,71.0,329.0,0.1775,0.8225,3.6647999999999996,,,,,,,,,,,,
kul3,pooled,2,100,1.0,studentised,20260831,400.0,400,0.0,78.0,322.0,0.195,0.805,4.639818984184279,,,,,,,,,,,,
kul3,pooled,2,100,1.0,bca,20260831,400.0,400,0.0,76.0,324.0,0.19,0.81,4.247084078239245,,,,,,,,,,,,
kul3,pooled,2,100,1.0,welch_t,20260831,400.0,400,0.0,69.0,331.0,0.1725,0.8275,3.7350534835645126,,,,,,,,,,,,
kul3,pooled,2,100,1.0,patient_cluster,20260831,400.0,270,130.0,99.0,171.0,0.36666666666666664,0.6333333333333333,2.1130306704995587,,,,,,,,,,,,
kul3,pooled,2,100,1.0,pseudobulk_patient_t,20260831,400.0,270,130.0,13.0,257.0,0.04814814814814815,0.9518518518518518,18.669735144082015,,,,,,,,,,,,
kul3,pooled,2,100,0.5,percentile,20260831,400.0,400,0.0,151.0,386.0,0.3775,0.965,2.364062499999998,,,,,,,,,,,,
kul3,pooled,2,100,0.5,studentised,20260831,400.0,400,0.0,148.0,380.0,0.37,0.95,2.5269265955871907,,,,,,,,,,,,
kul3,pooled,2,100,0.5,bca,20260831,400.0,400,0.0,146.0,375.0,0.365,0.9375,2.457965570881069,,,,,,,,,,,,
kul3,pooled,2,100,0.5,welch_t,20260831,400.0,400,0.0,148.0,388.0,0.37,0.97,2.3838298219772645,,,,,,,,,,,,
kul3,pooled,2,100,0.5,patient_cluster,20260831,400.0,266,134.0,158.0,194.0,0.5939849624060151,0.7293233082706767,1.4044017100960553,,,,,,,,,,,,
kul3,pooled,2,100,0.5,pseudobulk_patient_t,20260831,400.0,266,134.0,22.0,261.0,0.08270676691729323,0.981203007518797,13.081152330181055,,,,,,,,,,,,
kul3,pooled,5,5,1.0,percentile,20260831,400.0,400,0.0,288.0,112.0,0.72,0.28,1.8605312500000002,,,,,,,,,,,,
kul3,pooled,5,5,1.0,patient_cluster,20260831,400.0,394,6.0,285.0,109.0,0.7233502538071066,0.2766497461928934,1.7556975185790358,,,,,,,,,,,,
kul3,pooled,5,5,1.0,pseudobulk_patient_t,20260831,400.0,394,6.0,98.0,296.0,0.24873096446700507,0.751269035532995,5.896963984011304,,,,,,,,,,,,
kul3,pooled,5,5,0.5,percentile,20260831,400.0,400,0.0,314.0,188.0,0.785,0.47,1.7499500000000001,,,,,,,,,,,,
kul3,pooled,5,5,0.5,patient_cluster,20260831,400.0,391,9.0,319.0,191.0,0.8158567774936062,0.4884910485933504,1.6462470393426814,,,,,,,,,,,,
kul3,pooled,5,5,0.5,pseudobulk_patient_t,20260831,400.0,391,9.0,97.0,367.0,0.24808184143222506,0.9386189258312021,5.779730968042415,,,,,,,,,,,,
kul3,pooled,5,50,0.5,percentile,20260831,400.0,400,0.0,212.0,349.0,0.53,0.8725,2.1344499999999997,,,,,,,,,,,,
kul3,pooled,5,50,0.5,patient_cluster,20260831,400.0,400,0.0,213.0,319.0,0.5325,0.7975,2.198527398362837,,,,,,,,,,,,
