cohort,pool,n_cells_mature,shift,method,seed,n_attempted,n_valid,n_covered,n_rejected
smc,reference,50,1.0,bca2000,202609170,400,400,373,27
smc,reference,50,1.0,bca2000,202609171,400,400,364,36
smc,reference,50,1.0,bca2000,202609172,400,400,379,21
smc,reference,50,1.0,bca2000,202609173,400,400,363,37
smc,reference,50,1.0,bca2000,202609174,400,400,366,34
smc,reference,50,1.0,bootstrap_t2000,202609170,400,400,377,23
smc,reference,50,1.0,bootstrap_t2000,202609171,400,400,374,26
smc,reference,50,1.0,bootstrap_t2000,202609172,400,400,383,17
smc,reference,50,1.0,bootstrap_t2000,202609173,400,400,370,30
smc,reference,50,1.0,bootstrap_t2000,202609174,400,400,375,25
smc,reference,50,1.0,welch,202609170,400,400,367,33
smc,reference,50,1.0,welch,202609171,400,400,364,36
smc,reference,50,1.0,welch,202609172,400,400,372,28
smc,reference,50,1.0,welch,202609173,400,400,361,39
smc,reference,50,1.0,welch,202609174,400,400,365,35
